x,
american samoa,samoan
andorra,andorrese
angola,angolese
anguilla,anguillese
antigua and barbuda,antiguan
armenia,armenian
aruba,aruban
azerbaijan,azerbaijani
azores,azorese
bahrain,bahraini
barbados,barbados
belarus,belarusian
belize,belizian
benin,beninese
bermuda,bermudan
bhutan,bhutanese
bosnia and herzegovina,bosnian
british virgin islands,british
brunei,brunei
burkina faso,burkina faso
burundi,burundi
canary islands,canary islands
cape verde,cape verde
cayman islands,cayman islands
central african republic,central african republic
chad,chad
comoros,comoros
congo,congo
congo democratic republic,congo democratic republic
cook islands,cook islands
cyprus,cyprus
djibouti,djibouti
dominica,dominica
east timor,east timor
easter island,easter island
equatorial guinea,equatorial guinea
eritrea,eritrea
falkland islands,falkland islands
faroe islands,faroe islands
french guiana,french guiana
french polynesia,french polynesia
gabon,gabon
gambia,gambia
georgia,georgia
gibraltar,gibraltar
greenland,greenland
grenada,grenada
guadeloupe,guadeloupe
guam,guam
guernsey and alderney,guernsey and alderney
guinea,guinea
guinea bissau,guinea bissau
guyana,guyana
isle of man,isle of man
ivory coast,ivory coast
jersey,jersey
kazakhstan,kazakhstan
kiribati,kiribati
korea north,korea north
korea south,korea south
kyrgyzstan,kyrgyzstan
lesotho,lesotho
liberia,liberia
liechtenstein,liechtenstein
luxembourg,luxembourg
macedonia,macedonia
madeira,madeira
madiera,madiera
malawi,malawi
maldives,maldives
marshall islands,marshall islands
martinique,martinique
mauritania,mauritania
mauritius,mauritius
mayotte,mayotte
micronesia,micronesia
moldova,moldova
monaco,monaco
montserrat,montserrat
myanmar,myanmar
nauru,nauru
netherlands antilles,netherlands antilles
new caledonia,new caledonia
niger,niger
niue,niue
norfolk island,norfolk island
northern mariana islands,northern mariana islands
oman,oman
palau,palau
palestine,palestine
papua new guinea,papua new guinea
pitcairn,pitcairn
puerto rico,puerto rico
qatar,qatar
reunion,reunion
rwanda,rwanda
saint barthelemy,saint barthelemy
saint helena,saint helena
saint kitts and nevis,saint kitts and nevis
saint lucia,saint lucia
saint martin,saint martin
saint pierre and miquelon,saint pierre and miquelon
saint vincent and the grenadines,saint vincent and the grenadines
samoa,samoa
san marino,san marino
sao tome and principe,sao tome and principe
serbia and montenegro,serbia and montenegro
seychelles,seychelles
sicily,sicily
sierra leone,sierra leone
slovenia,slovenia
solomon islands,solomon islands
somalia,somalia
suriname,suriname
svalbard and jan mayen,svalbard and jan mayen
swaziland,swaziland
tanzania,tanzania
togo,togo
tokelau,tokelau
trinidad and tobago,trinidad and tobago
turkmenistan,turkmenistan
turks and caicos,turks and caicos
tuvalu,tuvalu
uganda,uganda
uk,uk
us virgin islands,us virgin islands
usa,usa
uzbekistan,uzbekistan
vanuatu,vanuatu
vatican city,vatican city
wallis and futuna,wallis and futuna
western sahara,western sahara
yemen,yemen
